chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
102177.58702244997,102177.58702244997,False,0.014,7.0,1.0,0.02,0.014437548068173305,48748685.080309264,7.68796290577676,0.1933391191435387,0.030333673515017888,6.37374563446193,4.21942408397874,3.6321397836739022,7.972788173913086,0.9016102256357191,3.4792864449079035,0.8596088786965036,0.1228012683852148,9876.160891562844
51112.27196022944,51112.27196022944,False,0.014,7.0,1.0,0.025,0.08938524924056745,48642856.38444909,7.687019069463307,0.3061015321449656,0.04660573856102137,6.56789360271984,4.2201604970600535,3.6211813253574143,7.8148858384559166,0.8929226381337374,3.496652626577543,1.025681464361659,0.146525923480237,12152.341091505534
37045.38061974848,37045.38061974848,False,0.014,7.0,1.0,0.03,0.12275521822006087,49427707.19240362,7.693970465269964,0.37647102840757074,0.0557242931529867,6.755958794739646,4.227546153446403,3.6343779441405064,7.669176201300868,0.8847487159119702,3.5129622964298366,1.1204726799186455,0.16006752570266364,12800.281382464562
38377.35371591988,38377.35371591988,False,0.014,7.0,1.0,0.035,0.13799008367130394,50644082.19232207,7.704528704950569,0.31072228341848684,0.046820780787715,6.636418235468966,4.2299458602421565,3.654314398035742,7.76099753166862,0.8899175453118832,3.502568899796273,1.1910777217614552,0.17015396025163645,13208.675907436194
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44869.75027757356,44869.75027757356,False,0.014,7.0,2.0,0.02,0.04357053498759936,47981306.57945251,7.681072070070335,0.2981384354893873,0.04653971786360818,6.406107496464159,4.214068645391619,3.6112559925102388,7.9459146529841345,0.9001438959902857,3.482243434234356,0.907568594319178,0.12965265633131115,11046.981966811523
51162.552587230704,51162.552587230704,False,0.014,7.0,2.0,0.025,0.08931669870052344,48644232.899931796,7.687031359132632,0.30604909654836265,0.0465969893957726,6.568001506469176,4.220162977894703,3.6211817114670426,7.814800245926669,0.8929178814978147,3.4966621054429012,1.0267680717788197,0.14668115311125995,12141.335694721305
41923.4403555283,41923.4403555283,False,0.014,7.0,2.0,0.03,0.1247254986598942,49359281.47751354,7.693368829051477,0.3842380236505167,0.05648672298501262,6.802271460365383,4.228272943488002,3.6333385191712444,7.634326641138382,0.8827707376682479,3.516920757821735,1.1258776448436891,0.16083966354909845,12812.05305132963
38540.98604551124,38540.98604551124,False,0.014,7.0,2.0,0.035,0.13801045546699786,50642934.97009097,7.704518866921995,0.30925717905303474,0.04661922682307524,6.633683141650923,4.229930491984557,3.654491880747622,7.76313064510582,0.8900368949320784,3.5023306511780286,1.191441256216411,0.17020589374520156,13201.27762699439
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50557.490781209584,50557.490781209584,False,0.014,7.0,3.0,0.025,0.08824140291716179,48682915.062571585,7.687376575262331,0.3051682952148633,0.046523423515947,6.559454832687876,4.2200747168781305,3.621582535700486,7.821586994143345,0.8932948800257231,3.4959069101287397,1.0209537055463813,0.14585052936376877,12076.801538830157
63381.511858203514,63381.511858203514,False,0.014,7.0,3.0,0.03,0.12729981927214454,49271991.958550654,7.692600120203051,0.4087036735830075,0.0594610978882012,6.873463291099207,4.229416714878734,3.6318735534298,7.581520243443069,0.8797562989221835,3.522953067056191,1.1259847884274432,0.16085496977534902,12784.565955356482
36632.725266801026,36632.725266801026,False,0.014,7.0,3.0,0.035,0.13772167283206818,50662222.882419735,7.704684241206397,0.3144703293124903,0.04735412714561836,6.640821999431321,4.230046341811306,3.6543310478285047,7.757566091027226,0.889725484268599,3.5029525769130303,1.1906445531622474,0.1700920790231782,13154.19699608743
nan,nan,False,0.014,7.0,4.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44964.06581267824,44964.06581267824,False,0.014,7.0,4.0,0.02,0.047649782810720444,48689562.501449674,7.687435872223859,0.29687532595090216,0.04644762651561444,6.391614560780639,4.216080783105532,3.620616111444151,7.9579216508119295,0.9007996590139956,3.4809050905412073,0.9244394195193324,0.13206277421704748,11087.490431953795
47574.47369191349,47574.47369191349,False,0.014,7.0,4.0,0.025,0.08947083915717813,49389746.17328923,7.693636794215342,0.3022916790285955,0.04637281412028203,6.51872621412429,4.221589998949828,3.6312502214034708,7.854132373311661,0.895098216582266,3.492272575700656,1.0337677529774247,0.14768110756820355,12067.569018108361
51042.1369955933,51042.1369955933,False,0.014,7.0,4.0,0.03,0.11916314007823896,50237585.83966309,7.70102876126847,0.31834861251747415,0.04811052769098357,6.617025998181602,4.227537556544022,3.6463740107522638,7.776153352342126,0.8907648166583497,3.5008979650745,1.1282286511313129,0.16117552159018755,12683.940308092908
29825.18529762119,29825.18529762119,False,0.014,7.0,4.0,0.035,0.14296907017180377,51076698.263317175,7.70822281552232,0.3513256328411232,0.05216743527973722,6.7345774419848565,4.233369043441977,3.659503031048915,7.685400007247639,0.8856664764446652,3.5110515302612932,1.2059427131170286,0.1722775304452898,13152.31815501362
nan,nan,False,0.014,7.0,5.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,5.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46709.35633556759,46709.35633556759,False,0.014,7.0,5.0,0.015,0.08103813294571649,53545772.67508957,7.728725189895227,0.29656599381397897,0.045757694141438536,6.4812268052075295,4.2338800549498385,3.6837509856380075,7.884398457705338,0.8967685643149045,3.488755830086352,1.0613612693481587,0.15162303847830838,12004.746628702853
49119.76542060292,49119.76542060292,False,0.014,7.0,5.0,0.02,0.1088931899709899,54287810.392454356,7.734702325471272,0.30515245002025404,0.04654744683179568,6.555729063356708,4.2387305906532,3.69653514664561,7.824550170226451,0.893459379547064,3.4953267871507037,1.1535337404751569,0.16479053435359384,12626.782642906046
24079.050098718173,24079.050098718173,False,0.014,7.0,5.0,0.025,0.14136288926857016,54658347.66318338,7.737656498713974,0.4159103553516948,0.06060861573532548,6.86223155413997,4.247044843781128,3.703333182657827,7.589790675413039,0.8802297983241167,3.5217559826259452,1.2493735425070012,0.1784819346438573,13176.537736819842
25877.57044141074,25877.57044141074,False,0.014,7.0,5.0,0.03,0.14974761887491103,55787655.766369805,7.746538112456794,0.3737519726300691,0.055857569218221506,6.691160712166223,4.248441566241716,3.7235380986949203,7.718609504140892,0.8875390698862659,3.507066873016318,1.3109696552421484,0.18728137932030692,13519.449253969646
