chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61281.894798875175,12256.378959775035,False,0.014,7.0,1.0,0.03,0.10407173502481092,50071002.726396285,7.699586288706285,0.027648253143712435,0.004371746634879295,6.324303637160759,4.220535869724669,3.644566962837089,8.014287207353767,0.903864902151318,3.4747068530913503,1.0934097944770498,0.15620139921100712,12612.101694928433
123616.96393033187,24723.392786066375,False,0.014,7.0,1.0,0.035,0.12724388445067963,51037956.1185517,7.707893274172982,0.02786538822456322,0.004373363006052704,6.371615661905429,4.225682275865171,3.660836776215654,7.974564894806334,0.9017069965643726,3.4789743869052865,1.1739409772962728,0.16770585389946754,13119.831935963868
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62730.94505654989,12546.189011309978,False,0.014,7.0,2.0,0.03,0.10412213028807213,50071385.32869127,7.699589607222423,0.027645352542805864,0.004371285304918552,6.324307523853323,4.220545610310774,3.6446055694310178,8.01428392382446,0.9038647242167226,3.4747073269062416,1.0957827785016794,0.15654039692881133,12607.525817280093
123023.05128637448,24604.610257274897,False,0.014,7.0,2.0,0.035,0.12734794615023876,51033852.464599214,7.707858353771495,0.02781860627675571,0.004366547790925232,6.370846629589093,4.225697769446766,3.6609686452094024,7.975206627906622,0.9017419439169492,3.4789050484808355,1.1763869430843261,0.16805527758347516,13113.876732443414
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70315.5397341002,14063.107946820039,False,0.014,7.0,3.0,0.03,0.10277241641054104,50120198.68758329,7.700012783965169,0.027621820904873688,0.004380805442271082,6.305192337086322,4.220270555811013,3.6452582055404026,8.030473462473655,0.904741151265981,3.472953022298959,1.09142484350921,0.15591783478703,12544.620486899214
120490.87242748216,24098.17448549643,False,0.014,7.0,3.0,0.035,0.12647284639962167,51073661.40909149,7.708196993018372,0.02778782123793662,0.004366181827986144,6.364329826995194,4.225594318037872,3.661147467826789,7.9806498804325745,0.902038258267244,3.478310709620974,1.1748102791526247,0.16783003987894637,13060.839752592761
nan,nan,False,0.014,7.0,4.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51868.97844518356,10373.795689036711,False,0.014,7.0,4.0,0.03,0.09881950025050473,50923066.16849178,7.706914545413003,0.02803491774414825,0.004551154693739157,6.1599571165345735,4.219994992687304,3.6576501539429995,8.156207226660035,0.9114882514675117,3.459424946756787,1.1017915297258118,0.15739878996083026,12481.759202533463
107886.24048966405,21577.24809793281,False,0.014,7.0,4.0,0.035,0.12645718736575684,51679730.13145819,7.71332023713245,0.027819763105143933,0.004393663101775922,6.331792506780769,4.226976602930191,3.6696446137427574,8.007966744483316,0.9035222609351261,3.4753150291069095,1.1830744633629702,0.16901063762328145,13023.637870357297
nan,nan,False,0.014,7.0,5.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,5.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,5.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,5.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16087.29402837104,3217.4588056742077,False,0.014,7.0,5.0,0.025,0.10348683312642815,55961897.63645252,7.747892432750935,0.0279932930895282,0.004641602390335637,6.030954557377326,4.234481915127429,3.727853353410134,8.27210439370119,0.917616006567359,3.44691182555449,1.191951095384662,0.17027872791209456,12869.514810473898
89553.95650986106,17910.79130197221,False,0.014,7.0,5.0,0.03,0.13314674100387677,56394021.87850363,7.751233068472999,0.02775781544893087,0.004405889682211452,6.300161250292215,4.242664526246905,3.7352963197243096,8.034748129107314,0.9049722671786005,3.472164271224353,1.2864896637384144,0.18378423767691635,13412.737540469943
130733.09367562173,26146.618735124346,False,0.014,7.0,5.0,0.035,0.1512627571353216,57073739.25298218,7.7564363267935414,0.027974575515186957,0.004366698587012106,6.40634450895967,4.248008046121211,3.7469922335899852,7.945718670946739,0.9001331842005454,3.481790119030825,1.3594529131390003,0.19420755901985717,13801.450916672253
nan,nan,False,0.014,7.24,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.24,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.24,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.24,1.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7072.776020022092,1414.5552040044183,False,0.014,7.24,1.0,0.025,0.06673986814006534,45995328.37865719,7.662713723803311,0.029920810538263013,0.004966245466031778,6.02483520859288,4.220949214734173,3.6840707457284214,8.371245997975961,0.9227901043220323,3.4514414012934775,1.0481742957089601,0.14477545520841992,12156.974489520218
124739.26125840549,24947.8522516811,False,0.014,7.24,1.0,0.03,0.1108060393840654,46406099.856616504,7.666575070209049,0.02801645822375988,0.004382959084917264,6.3921331869537035,4.2313327668607945,3.691337431947516,8.04741396706765,0.9056563424464982,3.4856777550687013,1.1647812743967694,0.16088139149126648,13049.961877924354
140083.21974938517,28016.643949877034,False,0.014,7.24,1.0,0.035,0.13240874025328148,47305862.810001075,7.674914967973451,0.027964674838786722,0.004355908225718953,6.419941236060152,4.236010589747085,3.7075350740210102,8.024158847915329,0.9043995174812359,3.4881377540014094,1.2468213488522437,0.17221289348787897,13538.181807445386
