chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36275.05954893235,9068.764887233088,False,0.014,7.0,1.0,0.025,0.02648686680427491,50478542.88145789,7.703106810030141,0.09384582531547626,0.016808233284372507,5.583324774694175,4.205227045589562,3.6554912961600943,8.708528618072803,0.9399447833621832,3.4025454290827337,0.9264882820264675,0.13235546886092392,10789.428432109196
18103.789719605626,4525.947429901406,False,0.014,7.0,1.0,0.03,0.11248214652200202,49785444.77102727,7.697102391362648,0.09842664760406104,0.015105560062205429,6.515921766471109,4.223712973525624,3.6399912040210074,7.856385819988075,0.8952228031110488,3.4920013916821726,1.1059471437422836,0.15799244910604052,12700.675420771793
48870.151658766394,12217.537914691598,False,0.014,7.0,1.0,0.035,0.1340799898948372,50789016.45359077,7.705769802651119,0.09456511816101708,0.01446128494778013,6.539191953031341,4.228405929870861,3.656698714059362,7.837736404146156,0.8941906533561945,3.494016981457108,1.186323692452841,0.16947481320754873,13178.40973895427
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35384.51256039682,8846.128140099205,False,0.014,7.0,2.0,0.025,0.026532227864986883,50475870.16198937,7.703083814555606,0.09374047001857988,0.016780962756239547,5.586119901477347,4.20527594874897,3.655397106930752,8.705623384813963,0.939799875153681,3.4028353211036575,0.9264134369249105,0.13234477670355865,10780.741259712628
18475.877128860742,4618.969282215186,False,0.014,7.0,2.0,0.03,0.11252131684166737,49785954.175551005,7.69710683503977,0.09836879376790161,0.015096653377622718,6.51593378395443,4.223722050867598,3.640026444944849,7.8563761601789865,0.8952222691244984,3.492002559494,1.1070956861617691,0.15815652659453844,12695.385694681145
48021.29313894214,12005.323284735536,False,0.014,7.0,2.0,0.035,0.13422381971681221,50783242.30668197,7.705720425386628,0.09462740753770782,0.014470032701220544,6.539543447591933,4.228439219808248,3.656800749416083,7.837455554122993,0.8941750909802262,3.4940487348037896,1.1868023312256895,0.1695431901750985,13171.770634891633
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28797.869399138617,7199.467349784654,False,0.014,7.0,3.0,0.025,0.026393683013457726,50483884.521124564,7.703152764643027,0.09424836940734789,0.01682192371226573,5.602710547226328,4.205691031359683,3.655340231203072,8.688428934867034,0.938941253249317,3.4045523276589074,0.9261885257954472,0.13231264654220673,10739.312438216717
14101.689197524483,3525.422299381121,False,0.014,7.0,3.0,0.03,0.11204951846193498,49805939.24005305,7.697281134434079,0.09870159103466256,0.015148035539979,6.515801390494981,4.223765642249343,3.640212577701884,7.856482581398613,0.8952281519685057,3.491990422403875,1.1041648152612755,0.1577378307516108,12640.689399348701
42246.64468366638,10561.661170916595,False,0.014,7.0,3.0,0.035,0.13358620517273723,50815224.4130935,7.705993847875006,0.09511104527373088,0.014546856257182097,6.538254286163892,4.2284224530889585,3.6568478500695463,7.838485738731072,0.8942321725274094,3.4939331767986466,1.1846806344418668,0.1692400906345524,13121.843717091115
nan,nan,False,0.014,7.0,4.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12312.680226943312,3078.170056735828,False,0.014,7.0,4.0,0.025,0.08764964643477284,49447143.01965147,7.694141203786697,0.09998395349928042,0.015426180761086154,6.481445734870319,4.2209883476000085,3.6321646483419676,7.884220911060767,0.8967587844443632,3.4889494752008616,1.0314600439552888,0.14735143485075555,12044.457870319082
3307.8572606961193,826.9643151740298,False,0.014,7.0,4.0,0.03,0.11462323451095265,50393956.47504889,7.702378456546443,0.10204632568183784,0.015668813713066013,6.512702719590238,4.225868275577839,3.6488985409718335,7.858974401355115,0.895365874169936,3.4916899739654963,1.1215467352553503,0.16022096217933576,12642.102525681246
19059.427922054943,4764.856980513736,False,0.014,7.0,4.0,0.035,0.13476258986518244,51379729.52370121,7.710791813696905,0.09745185525657747,0.014917753712449463,6.532609207460638,4.230224268752658,3.6645552974281785,7.843000779821364,0.8944822581915388,3.493407550251537,1.1947895213375155,0.17068421733393077,13089.330962423574
nan,nan,False,0.014,7.0,5.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,5.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21568.435811351177,5392.108952837794,False,0.014,7.0,5.0,0.015,0.08069673910664288,53556009.51327838,7.7288082100328985,0.0984300801572588,0.015200947465866615,6.475259544069956,4.233792854043774,3.6839355968444303,7.8892416140240105,0.8970352568628169,3.488221973135828,1.0608881959380412,0.15155545656257732,12000.528240805508
5423.617409319333,1355.9043523298333,False,0.014,7.0,5.0,0.02,0.10628711052705521,54372821.04185526,7.735381866220906,0.09969458894537192,0.01533152262485283,6.502588906842441,4.2379352982400835,3.6980665771346968,7.86712126988604,0.8958158447714447,3.490609616650255,1.1486265280736483,0.1640895040105212,12600.533839780954
2843.764363573409,710.9410908933522,False,0.014,7.0,5.0,0.025,0.1264405352118289,55192627.552345924,7.741881069990638,0.09921396928357261,0.015210468497417938,6.522742498064063,4.2421483465434475,3.713126865289272,7.850907997084671,0.8949198879960782,3.492347227366703,1.2274675692967942,0.17535250989954204,13072.364495047446
11570.377076191418,2892.5942690478546,False,0.014,7.0,5.0,0.03,0.14335332747358634,56023771.73777624,7.748372343862101,0.09110319409729664,0.013931641769642435,6.539300651256616,4.246248649653487,3.7280599641539407,7.837649549761874,0.8941858406670609,3.4937594300278567,1.3015207505537594,0.1859315357933942,13476.051113005939
27536.372523294383,6884.093130823596,False,0.014,7.0,5.0,0.035,0.1573618168727066,56839651.24905396,7.7546514045637345,0.09044945378371586,0.013792703866791836,6.557775375826601,4.2502108864645285,3.742275282513811,7.822922351187649,0.8933690195444921,3.4953336841980227,1.366146841790895,0.19516383454155645,13830.936302082879
nan,nan,False,0.014,7.24,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.24,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.24,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
