chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
230017.69183597158,115008.84591798579,False,0.014,7.0,1.0,0.01,0.06075380420669054,43183420.82220793,7.635317042476291,0.515816635739001,0.06363734575249683,8.105564894946344,4.230395546766845,3.5403115703743713,6.7923155317524255,0.8320178525179924,3.618642212539241,0.8527463894103481,0.12182091277290687,10881.44533508819
221885.88852186367,110942.94426093184,False,0.014,7.0,1.0,0.015,0.10301799933558863,44106715.682996966,7.644504720125824,0.517623850766073,0.06363500021060553,8.134263362189866,4.234413662425175,3.5543374433944366,6.776330159127096,0.8309945577113649,3.6206574083398078,0.9557392347841024,0.1365341763977289,11759.765253478481
193803.11261720618,96901.55630860309,False,0.014,7.0,1.0,0.02,0.133539209676472,45158708.16836663,7.6547415097946825,0.5190445153570197,0.06363233462689782,8.1569302525263,4.2388320712134275,3.5703997193505406,6.763770731855104,0.8301888781129128,3.6222324065631533,1.0473280358732078,0.1496182908390297,12347.494868294356
136045.09206355052,68022.54603177526,False,0.014,7.0,1.0,0.025,0.15938046866450617,46187575.91953317,7.664525169598868,0.5211704739830322,0.06362971005210688,8.190678121214782,4.24339851615176,3.586274685127415,6.745178873980335,0.8289934711246857,3.6245857168390994,1.1299693948627483,0.1614241992661069,12831.944744575578
137931.3036392066,68965.6518196033,False,0.014,7.0,1.0,0.03,0.18048103857284414,47220390.54828976,7.674129574700898,0.5221993960596486,0.06362697703729085,8.20720110203562,4.247604685032119,3.601932406194809,6.736122770754414,0.8284099938976638,3.6257131531720916,1.2056132975063534,0.1722304710723362,13245.489386897569
114360.67747692474,57180.33873846237,False,0.014,7.0,1.0,0.035,0.19798075951465735,48214406.69859255,7.683176826928362,0.5229660056661767,0.06362387689730443,8.219650093160753,4.2515399132349,3.6167956455558525,6.72931963326444,0.827971157172621,3.6265506749934464,1.2764791272706482,0.18235416103866403,13595.556072585858
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
230039.64721394778,115019.82360697389,False,0.014,7.0,2.0,0.01,0.060623058079750256,43186352.39325953,7.635346524205468,0.5158073684980715,0.06363681471052424,8.10548690792293,4.23040156852653,3.5403412288112506,6.79235909990381,0.8320206382170608,3.618636594188303,0.8539961459937909,0.12199944942768441,10854.670405607083
221818.72269453728,110909.36134726864,False,0.014,7.0,2.0,0.015,0.10287558087440045,44109531.669041604,7.644532446700858,0.5176137291522227,0.06363501725428236,8.134102126253286,4.234410469801226,3.554336151024099,6.776419706755362,0.8310002967740951,3.620645836150672,0.9555101079031293,0.13650144398616132,11734.423727920297
193292.5392884918,96646.2696442459,False,0.014,7.0,2.0,0.02,0.1334010428807482,45162317.0420381,7.654776215200618,0.5190437677240529,0.0636323336614954,8.156918627017632,4.238822590135572,3.5703626203329017,6.763777158485893,0.8301892907598036,3.6222314534319797,1.0460556372730958,0.14943651961044227,12325.70574069608
