chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
266115.97299205593,266115.97299205593,False,0.014,7.0,1.0,0.01,0.07196775999063763,42868989.863913834,7.6321432502077,0.5268682095577979,0.06363778657504209,8.279172452619978,4.23242812640039,3.5361703666221866,6.69702764019983,0.8258820913748077,3.6309205788138748,0.8697960894867547,0.12425658421239352,11069.777455437767
271881.3522287136,271881.3522287136,False,0.014,7.0,1.0,0.015,0.11104841636791968,43849214.802132495,7.6419618209596605,0.5282800392149496,0.06363547257555037,8.301659716406697,4.236571941839673,3.551174963254058,6.684928381068773,0.8250967588121774,3.632459105386513,0.9710478251125805,0.13872111787322577,11851.127729007956
274979.0133693175,274979.0133693175,False,0.014,7.0,1.0,0.02,0.14082281529465965,44899576.73787391,7.652242246988353,0.5298739277641294,0.0636326376820621,8.32707784976042,4.24099820663524,3.567109759583121,6.6713177670642985,0.8242116273855769,3.6341936377790347,1.0580408334397984,0.15114869049139976,12410.25439387381
271415.2585241654,271415.2585241654,False,0.014,7.0,1.0,0.025,0.16695852228962946,45893583.159966625,7.6617519667347835,0.5333055268558452,0.06363005029970155,8.38134693189684,4.245754207495068,3.5823721723122324,6.642488818628959,0.8223308320304776,3.637919365265606,1.1391669821023325,0.1627381403003332,12887.980256620185
260593.424288705,260593.424288705,False,0.014,7.0,1.0,0.03,0.18511676549046616,47027102.62875234,7.672348222396796,0.5300577774909541,0.06362694112563394,8.330712872780317,4.249092284147549,3.599233347769378,6.6693769841694746,0.8240852664540875,3.634368635851723,1.2135284120492564,0.17336120172132236,13272.628689602734
216875.59117087,216875.59117087,False,0.014,7.0,1.0,0.035,0.20043270011992526,48106447.85807175,7.682203290126593,0.5272900493702739,0.06362364429301172,8.287642986024148,4.252339878354009,3.6152252338810738,6.692463651457333,0.8255860210970166,3.6313246243889887,1.2798599551141887,0.1828371364448841,13609.04350154616
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
266113.26459153276,266113.26459153276,False,0.014,7.0,2.0,0.01,0.07186978122863438,42871296.651672214,7.632166619040143,0.5268609568734404,0.06363786418950161,8.27904838705063,4.232431760166811,3.5361935791084185,6.69709454551174,0.8258864300850822,3.630911874301274,0.8668337504768635,0.12383339292526621,11038.871200087347
271843.42546081054,271843.42546081054,False,0.014,7.0,2.0,0.015,0.11091704165837166,43851799.1689276,7.641987416473049,0.5282736550632939,0.06363547229802057,8.301559428823888,4.236569324354523,3.551171488638628,6.684982219464198,0.825100256474764,3.632452024912361,0.9686734456833105,0.1383819208119015,11823.540619313275
274925.31354936556,274925.31354936556,False,0.014,7.0,2.0,0.02,0.14069804683681092,44902988.32381194,7.652275244552445,0.5298801335823847,0.06363272732514438,8.327163644500954,4.240990277693392,3.5670720777387697,6.671271943941793,0.8242086443470995,3.6341994841052903,1.05695245222181,0.15099320746025854,12389.472256627016
289634.93200360134,289634.93200360134,False,0.014,7.0,2.0,0.025,0.16692626976089547,45893657.38744953,7.661752669154555,0.5333569575808105,0.06363010898299049,8.382147478694193,4.245762665243283,3.582350696927507,6.642065879454829,0.8223031788416818,3.637974662036283,1.1392312461926106,0.16274732088465865,12872.585840727317
251667.7001101593,251667.7001101593,False,0.014,7.0,2.0,0.03,0.18506757066238821,47028945.68403275,7.67236524264701,0.5300268286805299,0.06362699135084238,8.330219886681986,4.249088067436283,3.599250748896429,6.669640112694556,0.8241024004401465,3.634334334131608,1.2129410147069382,0.17327728781527688,13259.300937752136
216981.57397970447,216981.57397970447,False,0.014,7.0,2.0,0.035,0.20052841041999633,48102879.729708195,7.68217107665003,0.5272472460487367,0.0636240506209767,8.286917304113054,4.2523562039165625,3.615341241894704,6.692854349932637,0.8256113739787253,3.631274488955814,1.2822567696122602,0.18317953851603716,13603.820570639047
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
265958.73298220144,265958.73298220144,False,0.014,7.0,3.0,0.01,0.07126634545571861,42916369.49526434,7.632622975762179,0.5267079895170746,0.06363772242397904,8.276663108838857,4.23252037522969,3.5367148962858277,6.698381188554757,0.825969858548031,3.6307439183353662,0.8671750893081384,0.12388215561544834,10979.604414649122
271439.2048144225,271439.2048144225,False,0.014,7.0,3.0,0.015,0.11017457033486511,43888644.32184022,7.642352166111842,0.5282266520299385,0.06363539435161585,8.300830966980966,4.236602091820394,3.551353373186235,6.685373319525001,0.825125663816825,3.6324002521915832,0.9667189259901106,0.13810270371287295,11759.037146647117
275430.7262895828,275430.7262895828,False,0.014,7.0,3.0,0.02,0.14029913604127803,44928022.802694656,7.652517306534854,0.52989952759652,0.06363281199615833,8.327457344310218,4.241043026527278,3.5672626499606586,6.671115084311937,0.824198432790271,3.6342194272863213,1.054435292220801,0.15063361317440013,12329.196784531234
266575.1114948887,266575.1114948887,False,0.014,7.0,3.0,0.025,0.166901751189,45900777.556486525,7.661820042522692,0.5339864253244433,0.06362958829807497,8.392108759575274,4.245918362852304,3.5822857462176416,6.636808831291748,0.8219593082687096,3.6386622485259217,1.140265157105193,0.162895022443599,12822.51668827519
249473.05472480739,249473.05472480739,False,0.014,7.0,3.0,0.03,0.18459940568262995,47054767.404946744,7.6726036310103,0.5296985266931223,0.06362690174833122,8.325071819279886,4.249066566210141,3.5995227126784752,6.672389415827817,0.8242813847834508,3.6339759648869228,1.2124193893812885,0.17320276991161263,13205.741514283141
242491.92156174986,242491.92156174986,False,0.014,7.0,3.0,0.035,0.2061095803312352,47860513.69405033,7.679977355650051,0.5379945445856804,0.0636247882906062,8.455738070646154,4.254301123456499,3.611442897956679,6.603472338188096,0.8197723629298364,3.642960405602122,1.285924114083903,0.183703444869129,13574.532361352354
nan,nan,False,0.014,7.0,4.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
265157.4339795178,265157.4339795178,False,0.014,7.0,4.0,0.01,0.08120219093794871,43654251.45791778,7.640026545746096,0.5263818037456478,0.06363622054526967,8.27173265846593,4.2346902458577285,3.545739430162672,6.701042683015796,0.8261423842303774,3.630377656722554,0.8941509990443305,0.12773585700633291,11091.648727358164
269618.9457120246,269618.9457120246,False,0.014,7.0,4.0,0.015,0.11732848586102623,44585019.94182642,7.64918896522759,0.5285679321232903,0.0636339032788935,8.306388652707545,4.238908029081735,3.560189552264869,6.682390928500707,0.8249318788334594,3.6327668468725047,0.9864826148871797,0.14092608784102567,11796.963353859936
267387.0885375617,267387.0885375617,False,0.014,7.0,4.0,0.02,0.146162931759766,45556176.907250814,7.6585472707680955,0.5312585786631531,0.0636312631466203,8.349018271710518,4.24339041903357,3.5751548936957582,6.659624918444683,0.8234497696452351,3.63569655097821,1.074302853612404,0.1534718362303434,12331.451580904877
250562.46145040618,250562.46145040618,False,0.014,7.0,4.0,0.025,0.17211155987392407,46464499.04831332,7.667121259214903,0.5364570718396404,0.06362883907130884,8.431036612791772,4.248293450352925,3.589106267267186,6.616364058369713,0.8206193937922382,3.6413229808042167,1.1572271493564321,0.165318164193776,12801.189765700812
263453.6200285876,263453.6200285876,False,0.014,7.0,4.0,0.03,0.1881158994026053,47607222.8118866,7.677672847455358,0.5302341311031202,0.06362566353403074,8.333651889060771,4.2510559386018025,3.6068837136057077,6.667808839326405,0.8239831404637442,3.6345529829639704,1.2297572843132412,0.17567961204474875,13173.698320248575
228647.32409848695,228647.32409848695,False,0.014,7.0,4.0,0.035,0.20679379347772947,48458713.456602395,7.68537187975371,0.5356955034893996,0.06362289011969201,8.419854905704698,4.255538753317299,3.6188559693288678,6.6222205234692835,0.8210036388943327,3.640475705968278,1.2968414461867315,0.18526306374096163,13511.486746768976
265961.5397980047,265961.5397980047,False,0.014,7.0,5.0,0.005,0.12330132608682372,48694296.880787715,7.687478099238406,0.5284388006605694,0.06362442909435662,8.305595950839598,4.250262088828195,3.6056610551348633,6.6828161084673,0.8249595107755399,3.632583423898787,1.0419385386048687,0.14884836265783838,11856.161261971927
256220.75687686208,256220.75687686208,False,0.014,7.0,5.0,0.01,0.15059859490654973,49507678.300580956,7.694672560246078,0.5325102740558978,0.06362168981853779,8.369948606752306,4.254691962462345,3.6189112276246567,6.6485180132070685,0.8227248497521343,3.637015667053285,1.1278710168624062,0.16112443098034374,12375.582652630776
239613.75574184326,239613.75574184326,False,0.014,7.0,5.0,0.015,0.17295332111511574,50357302.12988836,7.70206245492495,0.5038631078404296,0.05989090572750477,8.413015327117211,4.258914210411339,3.6328284785900133,6.625809174395119,0.8212389238941752,3.639947946131028,1.206416610418831,0.172345230059833,12807.316199687653
232824.56755109143,232824.56755109143,False,0.014,7.0,5.0,0.02,0.1872128319919887,51365432.42796943,7.710670948641934,0.5313709095009028,0.06361538048068917,8.352868527795785,4.2617610837952125,3.6483705737242973,6.657578257741495,0.8233162801362202,3.6357451589514294,1.2735970641490266,0.18194243773557522,13163.92326647478
198602.158019547,198602.158019547,False,0.014,7.0,5.0,0.025,0.20261910127684657,52185223.973627575,7.717547551754632,0.5329844826080037,0.06361247539290714,8.37861566172336,4.265520668499331,3.6616267479478757,6.64393229065995,0.8224251978397729,3.6374847698487627,1.3399999779062404,0.19142856827232005,13500.181789751725
162072.21786096029,162072.21786096029,False,0.014,7.0,5.0,0.03,0.21862453725401404,52876909.85762795,7.723266066920207,0.5390847418067842,0.06360947304923784,8.474912870123886,4.269863850333584,3.6723821782953525,6.593508180434662,0.819116549345004,3.644065072129195,1.4080513142481932,0.2011501877497419,13811.437284043657
130100.41877327654,130100.41877327654,False,0.014,7.0,5.0,0.035,0.2346099794707442,53435312.80381588,7.72782835604093,0.5493990235776298,0.06360733977297046,8.637352631607673,4.274630332682702,3.680454229469169,6.510578957902468,0.8136196102336762,3.655026162568468,1.4691624585949936,0.20988035122785623,14085.027977626867
nan,nan,False,0.014,7.24,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
