360063836 HD344775      17.780000000000001 0.166678399747169886 6.0000000000000000 0.5000000000000000 0.0350000000000000033 0.0025000000000000001 0.29519908722419697 0.0103017723044031024 0.421949940753769737 1.099334353609905e-03 0.3575966957186245687 5.5700007341706788e-04  9111608.211923452  343798.50726556225 4.4697945508736456 0.0052661852607065627 4.8219542666420576 0.020499557608882033 3.6982690976214165 0.0057437207053800407 0.9940411817003252 0.0026720820581076156  6.5922331197761004 0.3137242845823679516 0.37076676714151291 0.0150298449643783225
372724060 TIC372724060  13.490000000000000 0.114328959008054912 6.0000000000000000 0.5000000000000000 0.0349999962986185242 0.0025000000000000001 0.31021033071355891 0.0069240163289149498 0.351598260713998412 5.071294474166577e-03 0.2566756313217665175 4.4315720857291871e-04 14313037.699118581  944836.15069009596 4.4342393481719862 0.0075239062896238860 4.5158694689685976 0.033902138195800950 3.7432060342264917 0.0042149393422504858 0.9121091906505745 0.0022474498706820984  4.5039902073837608 0.2697202493645477483 0.33387621996914468 0.0178937299324581009
378373750 TIC378373750  12.937859512861223 0.303010917089828136 3.0838231783557166 0.9283370968587979 0.0300474249792754174 0.0025000000000000001 0.29107868215691085 0.0054617543475708862 0.178110341523378790 8.940744134178505e-05 0.1226672337220656162 2.6527104255655594e-05 13170226.880070135  444245.24852379033 4.4102584676274201 0.0039262994235359878 4.3874582859245033 0.019744680181945851 3.7576666368849954 0.0034874088378010560 0.8958653190378615 0.0020372185458467770  3.6037817653169881 0.1179260408955641187 0.27846128495703171 0.0056050665208411989
390122587 V909Cas       10.606348186498307 0.081581316093127743 4.9985388571365128 0.5000000000000000 0.0050073057143174352 0.0025000000000000001 0.09315620240510722 0.0215044285607505180 0.017563397154855193 2.807454729811215e-04 0.0147669621758232013 6.1780488196782894e-05 19647122.596626732  657610.17785664322 4.3338325006530427 0.0059029174309181906 4.1466434782799633 0.023694823441750942 3.6052298121101769 0.0075535855214567578 0.9283098989758359 0.0019098719941475423  1.8034569301730454 0.1325611346678235158 0.17002660783897958 0.0101895215048518981
391836737 HD30209        8.609999999999999 0.060377828505119746 1.0000000000000000 0.5000000000000000 0.0050000000000000001 0.0025000000000000001 0.24706932123196643 0.0060066343738387892 0.550334170512603582 2.000839130157057e-02 0.2991845111839110949 1.6307965869930476e-03 23023407.071144227 1183486.16110721510 4.3209234217261008 0.0033259422100416149 3.7561326955473957 0.016947279621221407 3.8546265453119921 0.0037788820855676414 0.7588726651723776 0.0018217550907804411  1.5067597233056547 0.0004255040057104743 0.17500112930379266 0.0030521668495249840
410492272 HD102505      10.590000000000000 0.081402361631536996 4.0000000000000000 0.5000000000000000 0.0050000000000000001 0.0025000000000000001 0.20438148507129983 0.0111521344177505227 0.296837236275403205 1.990214340324422e-03 0.1897202269785378259 5.8899872138317246e-04 16763692.119403157  788478.04820216936 4.3571843126996637 0.0065110763611459432 4.0700589872564148 0.016994284931251078 3.7751229098011363 0.0166140688514539100 0.8433139914378615 0.0046129321937524569  2.0016981655900636 0.0692127020823205957 0.18901776823324493 0.0035932592581687461
411281532 TIC411281532  16.030000000000001 0.144863132725027072 6.0000000000000000 0.5000000000000000 0.0149999999999999994 0.0025000000000000001 0.34023264426609096 0.0082411684277380534 0.301460661378100458 2.058151918672786e-03 0.1928581350655608484 1.2583964132113008e-04  9187965.748064380  443974.33397839667 4.4634211953793352 0.0043947434657537797 4.6332532194982230 0.020722504567636912 3.8172747261666862 0.0042017282110490828 0.9124372321986728 0.0017489598444963761  5.3362331317515590 0.2248280605165874357 0.33289040123216213 0.0113770514071056209
413607990 TIC413607990  16.030000000000001 0.144863132725027072 4.9999990356292825 0.5000000000000000 0.0099999983741099994 0.0025000000000000001 0.34023610512022096 0.0103281697525150432 0.220038008818041558 3.092536062098360e-04 0.1333074821108774510 2.8047775018813128e-05  7898508.209993380  309307.87390136579 4.4602144434989892 0.0041380124177446886 4.5757021262354804 0.020749924602170039 3.8622245389338379 0.0026039782413983391 0.8900753197121061 0.0024387181783839368  4.8100855432486904 0.2229992133455322156 0.30006771947901995 0.0113680398005683754
402894425 HD192575      13.029999999999999 0.108957943025512330 5.0000000000000000 0.5000000000000000 0.0350000000000000033 0.0025000000000000001 0.22546302547086797 0.0180174508439031045 0.187965594815055204 1.750552738331584e-03 0.1542883877791371150 9.3226818168569013e-04 14777060.990062956  637516.59694444493 4.3946473517683335 0.0095664886696527028 4.4663076816993987 0.021028497829964576 3.6189272735614728 0.0230370151176024357 0.9665122858314557 0.0101191010871148606  3.6194074729061514 0.2237586872523695813 0.27777494036117817 0.0151132141507876877
436240475 HD340239      10.635877986619869 0.122161217734934047 4.6279491699852642 0.9907091717192270 0.0093800272078396040 0.0025000000000000001 0.25927634820477213 0.0138005853750025314 0.438771385518087365 3.515713582070274e-04 0.2653390256280966919 1.1574831401071354e-04 17164618.695300035 1131072.21717983275 4.3678483415242431 0.0016386880919809156 4.0917221737861951 0.009979495471801710 3.7979329257176038 0.0036892799638305459 0.8328172413487681 0.0019773852851838105  2.2887744584126009 0.0479707497335565350 0.21526330196658094 0.0077907300407115002
436285033 TIC436285033  10.960000000000001 0.085472427550994406 2.0000000000000000 0.5000000000000000 0.0100000000000000002 0.0025000000000000001 0.22680493463559953 0.0052094119660053067 0.522458085508941905 5.060534218625487e-03 0.3485982743246935911 7.2645174533252034e-04 16093295.087163704  734893.45046610024 4.3667742499941653 0.0033402640192698274 4.1278828364863456 0.015900268781160021 3.7706470462466699 0.0050761866598454898 0.8530460789481769 0.0012696055772110414  2.2547104265708997 0.0084343622677597787 0.20572175424916966 0.0028024647221814719
439168784 V1259Cen       8.909767058620483 0.063473159349843794 4.9999999999999991 0.5000000000000000 0.0299999999999999954 0.0025000000000000001 0.23248878042043122 0.0192866850147813233 0.030318897767131148 1.111593308129176e-03 0.0221056878616807395 4.3433274853441340e-05 29554621.972528186 1377459.68609018787 4.3221188082962581 0.0079543712667419705 3.9613417267846200 0.019168658766736010 3.6681604361749689 0.0207228656293554254 0.8590864070740308 0.0097331715704141921  1.9674698632934877 0.0913847229086705848 0.22082154077514415 0.0093783959272969331
441163023 TIC441163023  15.339530475447381 1.030134483126590172 5.1116845851780521 0.8291530052930653 0.0184360244764074609 0.0089970495972419087 0.17559984652531235 0.0098648525288573177 0.019755444957664365 1.167556748204787e-04 0.0177158954105226460 1.6380851779429242e-05 11503883.194157695  291490.59261827247 4.4149014652132559 0.0055192541461024890 4.6494641840175639 0.026749930508592673 3.5867167318829507 0.0023074461544763088 1.0175823223699039 0.0025824225539801331  4.1627075209598852 0.2219277282266865492 0.27140739127831709 0.0116698318561844726
444357430 TIC444357430  13.030000000000001 0.108957943025512344 2.9999999993088959 0.5000000000000000 0.0050000000000000001 0.0025000000000000001 0.10957914261252778 0.0157894989095277785 0.102620101300050739 7.339495534367644e-03 0.0893281926815699956 1.0266456082996763e-03 13141874.865142718  408180.43220173306 4.3785305807155863 0.0043619897374552099 4.3891420389702258 0.021506413906982394 3.6315334441983187 0.0034582659212932286 0.9601630188803965 0.0020665388919010961  2.5191778946055918 0.1394941373805718976 0.19333675323143454 0.0089295582325130459
465541764 TIC465541764  10.230000001054883 0.077482708007991216 4.9999999985549550 0.5000000000000000 0.0049999999999999992 0.0025000000000000001 0.09849337198707515 0.0231552655931314827 0.077472919306771859 3.114931554059049e-03 0.0637125625095145420 4.1734952915392453e-04 21024092.603303123 1164573.65118216537 4.3272755258860949 0.0022612713495016178 4.0969534152131608 0.012762468856799200 3.6129453458642664 0.0031330959692695186 0.9165788227428592 0.0021971377142871690  1.7191721327756209 0.0819615573121133673 0.16805201687222440 0.0097516689496857569
