chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
296243.06955254433,74060.76738813608,False,0.014,7.0,1.0,0.015,0.05859430138689119,45439691.61023911,7.657435375246406,0.026196177905659437,0.0035798784099079894,7.31761666350359,4.2235705833912505,3.5722298870488505,7.2715490940844205,0.8616269406178696,3.559359906383914,0.8896928991498599,0.12709898559283714,11114.213106874322
29296.983103631843,7324.245775907961,False,0.014,7.0,1.0,0.02,0.09763647567374914,46367579.33422351,7.666214423710547,0.024492010450941834,0.0033270103786781128,7.361567191946361,4.227972535018751,3.586370199379514,7.242578154567874,0.8598931903672634,3.562791326518726,0.9916102279592667,0.14165860399418095,11974.170564001413
9231.003332507513,2307.750833126878,False,0.014,7.0,1.0,0.025,0.12639242921421548,47401253.35127626,7.675789825141317,0.023662937814139834,0.003201282659569158,7.391705241462336,4.232701123260705,3.6029187390557547,7.222878074468133,0.8587102838298868,3.5651162580688114,1.0791989595231093,0.15417127993187277,12554.412485032759
6299.051075476218,1574.7627688690545,False,0.014,7.0,1.0,0.03,0.15003188146489255,48427811.82286032,7.685094846194454,0.023634437379708422,0.0031845752397538034,7.421535244221637,4.237371298496445,3.619267287941854,7.203510737000289,0.8575442078347829,3.5674056346797727,1.1613737142042238,0.1659105306006034,13031.551105523064
5114.5272225844055,1278.6318056461014,False,0.014,7.0,1.0,0.035,0.16974823853214266,49408216.77661692,7.693799179773841,0.023773932870036967,0.003189572777197322,7.4536417666967685,4.241855793829815,3.6347055868320117,7.182809801392523,0.8562943666004542,3.569862053005278,1.2359576754733919,0.17656538221048454,13431.97067017443
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
298321.43793371605,74580.35948342901,False,0.014,7.0,2.0,0.015,0.05835869385028056,45444197.88980688,7.657478442337011,0.02619551317723956,0.003579907905898267,7.31737068824585,4.223573849367355,3.572262415335104,7.2717120498070065,0.8616366730665159,3.5593402975247845,0.888144434851464,0.126877776407352,11089.08716646391
29936.73474820074,7484.183687050185,False,0.014,7.0,2.0,0.02,0.09748174379254895,46371787.989887066,7.666253841618711,0.024498706449386464,0.0033279958564103465,7.361399324520595,4.227962289740581,3.586342422917858,7.242688259388655,0.8598997926505395,3.5627779844403245,0.9924062467977781,0.14177232097111117,11957.115292217683
9387.442371723973,2346.8605929309933,False,0.014,7.0,2.0,0.025,0.12631076475808647,47402942.67576317,7.675805302606105,0.023668118558043332,0.0032020643752712842,7.391518653037115,4.232697561267962,3.6029191084376424,7.22299962817842,0.8587175925039211,3.56510158659719,1.0797545608537054,0.15425065155052933,12539.48713028963
6350.274776808493,1587.5686942021232,False,0.014,7.0,2.0,0.03,0.15002071095026973,48429120.63922514,7.685106583335218,0.023636692306312008,0.0031849411124323904,7.421390685701026,4.237374114061563,3.619289829380372,7.203604279708465,0.8575498474207703,3.5673943642618946,1.1650950775295845,0.1664421539327978,13023.854952863789
5087.040734324057,1271.7601835810142,False,0.014,7.0,2.0,0.035,0.16989075547994265,49402740.89881893,7.693751044555448,0.02377419544043356,0.003189538530721032,7.453804119763723,4.241885373298438,3.634811291937799,7.182705500696728,0.8562880602180251,3.5698753237858942,1.2387217735026703,0.17696025335752433,13426.880634245108
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
298947.05414605624,74736.76353651406,False,0.014,7.0,3.0,0.015,0.05714884091180036,45490484.388158426,7.657920561274543,0.026178740692290675,0.0035778921258352763,7.316805474167034,4.223659236264288,3.5726486915893214,7.272086532097822,0.8616590380066781,3.5592943181252443,0.8863481926191779,0.12662117037416826,11018.10930301988
35060.28042036412,8765.07010509103,False,0.014,7.0,3.0,0.02,0.09685331253055013,46400867.85143839,7.666526103390358,0.024533593494156833,0.003333145576922635,7.360492642150888,4.228006324165686,3.5865898860835146,7.243283027815301,0.8599354553811533,3.5627059917927215,0.9902473991213832,0.1414639141601976,11897.3718812776
11260.21515052784,2815.05378763196,False,0.014,7.0,3.0,0.025,0.12573068533764725,47429020.865763396,7.676044159081868,0.02372727928438756,0.003210777559158271,7.389885735531252,4.232714209331868,3.6031136393427605,7.224063616502926,0.8587815618035846,3.564972923484921,1.0780843180976836,0.15401204544252622,12485.16405849812
7016.355630667819,1754.0889076669548,False,0.014,7.0,3.0,0.03,0.1496141320186587,48449928.35694628,7.685293139194712,0.023670618368147735,0.003190261577806945,7.419648135692821,4.237393238445007,3.6195023066264222,7.204732109418113,0.8576178372576535,3.567258106868461,1.1617010749190146,0.1659572964170021,12969.605663820501
5170.898401761476,1292.724600440369,False,0.014,7.0,3.0,0.035,0.1692397130784203,49436120.41224683,7.694044381383679,0.023797049409077602,0.0031937570453282283,7.451114493473293,4.241846648248684,3.63486537689573,7.184433889248956,0.8563925527817937,3.569664860506759,1.233983250888285,0.1762833215554693,13370.055197531445
