#o16_p_to_gamma_f17
#T8      Rate
42
0.10      7.20E-25
0.11      7.58E-24
0.12      6.08E-23
0.13      3.91E-22
0.14      2.09E-21
0.15      9.60E-21
0.16      3.87E-20
0.18      4.54E-19
0.20      3.78E-18
0.25      2.62E-16
0.30      6.59E-15
0.40      7.16E-13
0.50      1.98E-11
0.60      2.48E-10
0.70      1.86E-09
0.80      9.71E-09
0.90      3.92E-08
1.00      1.30E-07
1.10      3.70E-07
1.20      9.31E-07
1.30      2.12E-06
1.40      4.46E-06
1.50      8.74E-06
1.60      1.62E-05
1.80      4.78E-05
2.00      1.21E-04
2.50      7.77E-04
3.00      3.17E-03
3.50      9.70E-03
4.00      2.43E-02
4.50      5.25E-02
5.00      1.02E-01
6.00      3.01E-01
7.00      7.12E-01
8.00      1.44E+00
9.00      2.61E+00
10.0      4.34E+00
12.5      1.19E+01
15.0      2.56E+01
17.5      4.68E+01
20.0      7.67E+01
25.0      1.66E+02
