#n15_p_to_gamma_o16
#T8      Rate
31
0.1       2.28E-21
0.15      1.38E-17
0.2       3.32E-15
0.3       3.22E-12
0.4       2.46E-10
0.5       5.38E-09
0.6       5.68E-08
0.7       3.75E-07
0.8       1.78E-06
0.9       6.70E-06
1.0       2.10E-05
1.5       1.28E-03
2.0       1.91E-02
3.0       6.14E-01
4.0       4.68E+00
5.0       1.67E+01
6.0       3.91E+01
7.0       7.21E+01
8.0       1.17E+02
9.0       1.76E+02
10.0      2.60E+02
15.0      1.49E+03
20.0      4.74E+03
30.0      1.49E+04
40.0      2.43E+04
50.0      3.06E+04
60.0      3.44E+04
70.0      3.62E+04
80.0      3.70E+04
90.0      3.71E+04
100       3.67E+04
