#o17_p_to_alpha_n14
#T8      Rate
51
0.10      5.89E-25
0.11      6.21E-24
0.12      5.04E-23
0.13      3.30E-22
0.14      1.82E-21
0.15      8.75E-21
0.16      3.77E-20
0.18      6.81E-19
0.20      1.57E-17
0.25      1.52E-14
0.30      1.73E-12
0.40      6.07E-10
0.50      1.89E-08
0.60      1.79E-07
0.70      8.59E-07
0.80      2.75E-06
0.90      7.07E-06
1.00      1.80E-05
1.10      5.27E-05
1.20      1.69E-04
1.30      5.12E-04
1.40      1.40E-03
1.50      3.38E-03
1.60      7.35E-03
1.80      2.68E-02
2.00      7.43E-02
2.50      4.54E-01
3.00      1.68E+00
3.50      6.28E+00
4.00      2.55E+01
4.50      9.13E+01
5.00      2.68E+02
6.00      1.40E+03
7.00      4.58E+03
8.00      1.12E+04
9.00      2.27E+04
10.0      4.03E+04
12.5      1.19E+05
15.0      2.64E+05
17.5      4.99E+05
20.0      8.39E+05
25.0      1.79E+06
30.0      3.18E+06
35.0      5.08E+06
40.0      7.46E+06
50.0      1.36E+07
60.0      2.12E+07
70.0      2.98E+07
80.0      3.93E+07
90.0      4.92E+07
100       6.17E+07
