#o18_p_to_gamma_f19
#T8      Rate
51
0.10      1.75E-23
0.11      1.35E-22
0.12      7.89E-22
0.13      3.71E-21
0.14      1.51E-20
0.15      5.49E-20
0.16      1.83E-19
0.18      1.67E-18
0.20      1.20E-17
0.25      7.15E-16
0.30      1.79E-14
0.40      2.21E-12
0.50      1.35E-10
0.60      1.23E-08
0.70      4.60E-07
0.80      7.11E-06
0.90      5.91E-05
1.00      3.17E-04
1.10      1.24E-03
1.20      3.82E-03
1.30      9.80E-03
1.40      2.18E-02
1.50      4.33E-02
1.60      7.85E-02
1.80      2.08E-01
2.00      4.46E-01
2.50      1.68E+00
3.00      3.87E+00
3.50      6.80E+00
4.00      1.02E+01
4.50      1.37E+01
5.00      1.72E+01
6.00      2.42E+01
7.00      3.20E+01
8.00      4.28E+01
9.00      6.00E+01
10.0      8.59E+01
12.5      2.10E+02
15.0      4.34E+02
17.5      7.52E+02
20.0      1.14E+03
25.0      2.00E+03
30.0      2.84E+03
35.0      3.58E+03
40.0      4.21E+03
50.0      5.20E+03
60.0      6.91E+03
70.0      9.64E+03
80.0      1.25E+04
90.0      1.55E+04
100       1.85E+04
