#n15_alpha_to_gamma_f19
#T8      Rate
51
0.10      2.13E-61
0.11      3.82E-59
0.12      3.82E-57
0.13      2.30E-55
0.14      9.40E-54
0.15      2.71E-52
0.16      6.00E-51
0.18      1.40E-48
0.20      1.52E-46
0.25      1.88E-42
0.30      2.48E-39
0.40      8.69E-35
0.50      1.49E-31
0.60      4.38E-29
0.70      4.15E-27
0.80      2.52E-25
0.90      2.43E-23
1.00      1.92E-21
1.10      7.55E-20
1.20      1.62E-18
1.30      2.15E-17
1.40      1.98E-16
1.50      1.36E-15
1.60      7.49E-15
1.80      1.44E-13
2.00      1.95E-12
2.50      4.34E-10
3.00      2.26E-08
3.50      4.30E-07
4.00      4.19E-06
4.50      2.54E-05
5.00      1.09E-04
6.00      9.81E-04
7.00      4.69E-03
8.00      1.52E-02
9.00      3.91E-02
10.0      8.85E-02
12.5      5.47E-01
15.0      2.57E+00
17.5      8.64E+00
20.0      2.21E+01
25.0      8.25E+01
30.0      1.98E+02
35.0      3.68E+02
40.0      5.87E+02
50.0      1.13E+03
60.0      1.75E+03
70.0      2.38E+03
80.0      2.99E+03
90.0      3.55E+03
100       4.06E+03
