chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42518.852601820596,14172.950867273532,False,0.014,7.0,1.0,0.02,0.032905882939827984,48271222.19916291,7.6836882950406205,0.03728932045289396,0.005919734969662361,6.299153702656523,4.213120750143817,3.6172113105649504,8.03560487654452,0.9050185736517171,3.4724851531864007,0.8925323650731068,0.1275046235818724,10760.22715597136
198.63592959428414,66.21197653142805,False,0.014,7.0,1.0,0.025,0.09441592755521512,48481240.46652012,7.685573723387448,0.04319363123842022,0.006471532762052396,6.674405094832849,4.221868792759147,3.618698855465305,7.731522117158472,0.8882650025868585,3.5059731025936895,1.0329695227184403,0.1475670746740629,12215.748691336283
9088.619904113188,3029.539968037729,False,0.014,7.0,1.0,0.03,0.12905599321620675,49203116.12372034,7.6919926083056085,0.04673012350992349,0.0067663332745173015,6.906269853114372,4.229866254565746,3.6309140639972637,7.557491744402683,0.8783776814386979,3.5257122334031297,1.1297361341858556,0.1613908763122651,12856.677434581856
9271.05907635207,3090.35302545069,False,0.014,7.0,1.0,0.035,0.15392942510948712,50037476.19537279,7.699295396503705,0.04766823085824292,0.006770685462528151,7.040384776705277,4.236056744906374,3.6445388908646135,7.461207426789325,0.872809113848034,3.53680914034087,1.2133710362918924,0.17333871947027032,13327.248546468185
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
197.67467655059596,65.89155885019865,False,0.014,7.0,2.0,0.025,0.09425333646056945,48485461.045789815,7.685611529650007,0.04316204659243071,0.006468503740169839,6.672647698167279,4.221840926861075,3.6187398805632225,7.732879574792364,0.8883412469024259,3.5058204812073215,1.0343245407244996,0.14776064867492852,12202.681702032582
9056.650399709326,3018.8834665697755,False,0.014,7.0,2.0,0.03,0.12903466223152643,49205327.58320747,7.6920121274569375,0.04671741985976888,0.006765422880876898,6.905321468051915,4.229858939447621,3.630964326681036,7.558183698500183,0.8784174430553877,3.525632724215065,1.1320843324105254,0.16172633320150362,12850.377129165803
9231.88700840619,3077.2956694687296,False,0.014,7.0,2.0,0.035,0.15406792358665758,50031746.936251596,7.699245667215386,0.047668297795979024,0.006770396373351661,7.040695280944238,4.236088172310683,3.6446390625416103,7.460988058912507,0.872796344914869,3.5368353223583573,1.2136688820608932,0.17338126886584188,13319.99100749348
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
259.6063952290747,86.53546507635822,False,0.014,7.0,3.0,0.025,0.09290939160268273,48533599.81143015,7.686042504796833,0.04292774642319077,0.006447995123628929,6.657533946618597,4.22164814376134,3.6192818226305907,7.744578465692683,0.8889977842636271,3.504505922193558,1.0289495595098164,0.14699279421568806,12136.00653712948
8884.02434693712,2961.34144897904,False,0.014,7.0,3.0,0.03,0.12830977509882288,49235895.42973264,7.692281840633793,0.04659762793895142,0.006755648918911054,6.897579862167039,4.229785484381346,3.6313200649597026,7.5638380043703854,0.8787422189353743,3.524982488497617,1.1273010977626245,0.16104301396608922,12793.532191060445
9855.208684172174,3285.0695613907246,False,0.014,7.0,3.0,0.035,0.15331316987680962,50068965.732592456,7.699568620333058,0.04766635773876324,0.0067749697045016094,7.035656219553493,4.236015340062868,3.64476231892572,7.464550094848163,0.8730036369487816,3.5364191301766117,1.212327358071498,0.17318962258164255,13267.00465725109
nan,nan,False,0.014,7.0,4.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45680.21087391135,15226.736957970448,False,0.014,7.0,4.0,0.02,0.04037754222059841,48888566.56069457,7.689207303700593,0.03721049639610745,0.00590149101863402,6.305270359408311,4.21506765079202,3.624439283603905,8.030407215514874,0.9047375685622403,3.473022865783546,0.9127238824102252,0.1303891260586036,10909.158545562723
533.398938315184,177.79964610506133,False,0.014,7.0,4.0,0.025,0.09483316966288928,49219503.843221195,7.6921372314871155,0.04239253881772857,0.006394142941024154,6.62990164729388,4.223367488080439,3.628567604456166,7.766082267049914,0.8902019867684351,3.5020708284122324,1.0462952167407324,0.14947074524867607,12134.54885137424
11558.530642526252,3852.8435475087504,False,0.014,7.0,4.0,0.03,0.13119848703553494,49813454.079508275,7.697346656883177,0.04633193896032599,0.006715291417936049,6.899468105967344,4.231906429165096,3.639645338941634,7.5624578958805,0.878662969724966,3.525117340238512,1.1460180578922052,0.16371686541317218,12786.912814746192
13525.857642458754,4508.619214152918,False,0.014,7.0,4.0,0.035,0.15521167437460975,50609697.42993087,7.704233740887049,0.04755498774210681,0.006751835196905853,7.043268438172146,4.23794844138698,3.651868548200628,7.45917077150966,0.8726905500766288,3.5370220674726514,1.2240842289786795,0.1748691755683828,13231.566816783492
nan,nan,False,0.014,7.0,5.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,5.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13591.811041136225,4530.603680378742,False,0.014,7.0,5.0,0.015,0.07989324357603761,53580019.95675486,7.7290028710323035,0.039820501459741885,0.006162930503045152,6.461293282484082,4.233588723239131,3.684369385818415,7.900606062941852,0.8976604077075983,3.486970563505231,1.0598101295243776,0.15140144707491107,11990.05611768957
23805.69955183101,7935.23318394367,False,0.014,7.0,5.0,0.02,0.1253431268279008,53733035.541953735,7.730241375872648,0.0454621817186919,0.006585813404770179,6.903047341997746,4.243760964745157,3.686763159761494,7.559843575943981,0.8785128094155996,3.525246999929509,1.178260662056158,0.1683229517223083,12769.948045433539
31864.79453767765,10621.598179225884,False,0.014,7.0,5.0,0.025,0.15202192689377475,54263451.70986874,7.734507415869927,0.04717603992991655,0.0066339133986025225,7.111343952704371,4.250450176603552,3.696305561056572,7.411491034699259,0.8699055876016459,3.5424248844147694,1.264010674814992,0.18057295354499886,13244.476509815724
11890.526461388677,3963.5088204628923,False,0.014,7.0,5.0,0.03,0.17039223926421515,54984336.88411392,7.7402389917926,0.04593086435164774,0.00637934100983623,7.199938721072833,4.255317199710315,3.708604165325681,7.3505670570337145,0.8663208438789193,3.5495488346547055,1.341278092626782,0.1916111560895403,13630.976336263991
698.7088156510564,232.90293855035213,False,0.014,7.0,5.0,0.035,0.18430050442937923,55752534.880163044,7.746264618077865,0.04457269423717234,0.006149275879263759,7.248446014184835,4.25944994478666,3.72124700285743,7.317736573357094,0.8643767715353157,3.553385535763916,1.4042846950717718,0.2006120992959674,13948.568551589407
nan,nan,False,0.014,7.24,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
