chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,1.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
235947.50477755006,19662.292064795838,False,0.014,7.0,1.0,0.025,0.08684620318089228,48723659.813083716,7.687739902304034,0.2005473125877961,0.030782865517037947,6.51490071568534,4.219301751661188,3.6224372745028233,7.857206662314874,0.8952681762227376,3.4919589329346,1.0224279310186561,0.14606113300266516,12119.50541670654
92373.90683114184,7697.8255692618195,False,0.014,7.0,1.0,0.03,0.11211751570955097,49797964.50299217,7.697211591290138,0.19047920169906254,0.02927063520305243,6.507518554950895,4.2235757656489445,3.6401900217635177,7.863147708406821,0.8955964339192826,3.4912536800571954,1.1049560796477358,0.1578508685211051,12697.064765177061
34694.56473366037,2891.213727805031,False,0.014,7.0,1.0,0.035,0.13287795168213204,50833229.44616796,7.706147701402445,0.18991560318857698,0.029175205797795777,6.509486325643171,4.2279295061567845,3.657429910121856,7.861562980058425,0.8955088979648235,3.4913787435886885,1.184628283241951,0.1692326118917073,13168.854831584033
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,2.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
234725.9702655209,19560.49752212674,False,0.014,7.0,2.0,0.025,0.08676492241538986,48725144.48003024,7.687753135563632,0.20057635495047849,0.03078712670667347,6.514942328379128,4.219302992397792,3.6224385356862814,7.857173204880518,0.895266326912839,3.4919625920697306,1.021238439593758,0.14589120565625113,12106.328089330873
90546.00324581917,7545.500270484931,False,0.014,7.0,2.0,0.03,0.11212353384026984,49799630.17450822,7.697226117583679,0.1899497863222339,0.029192724143764174,6.506750976263682,4.223572174345345,3.6402439250056906,7.863766088297439,0.8956305867070228,3.4911854335009287,1.1059430351895234,0.1579918621699319,12691.467831645308
35262.28474859612,2938.5237290496766,False,0.014,7.0,2.0,0.035,0.13301637523133367,50827690.282518856,7.706100374893577,0.19000710896087944,0.02918838318960184,6.509682558524453,4.2279604246620215,3.6575361401795163,7.861404989261188,0.8955001700285244,3.4913968177317307,1.185237774412039,0.16931968205886272,13162.415076513944
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,3.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
234831.1511433316,19569.262595277632,False,0.014,7.0,3.0,0.025,0.08615147550623835,48749069.96904263,7.687966334677312,0.20113405136831827,0.03086669986270906,6.516214958610267,4.219374657900577,3.6226120771362766,7.856150156815194,0.8952097756512258,3.492074969974155,1.018369924069546,0.14548141772422088,12048.80648673229
93330.79787159486,7777.566489299571,False,0.014,7.0,3.0,0.03,0.11176027770998481,49815851.94105284,7.697367561937703,0.19176168325788806,0.0294603077262648,6.509154114738809,4.22365716406599,3.640370096102076,7.861830467424272,0.8955236744553267,3.491399020692129,1.1037972765195263,0.15768532521707518,12637.772503724329
40088.36487633576,3340.6970730279804,False,0.014,7.0,3.0,0.035,0.13243909625292125,50857308.48972822,7.706353372375486,0.19056756204807784,0.029273084307010238,6.509992594201672,4.227969225118059,3.6575437679747247,7.861155389861404,0.895486380971347,3.491423093640041,1.183023357747055,0.16900333682100785,13112.435190467619
nan,nan,False,0.014,7.0,4.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,4.0,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
254403.01570372787,21200.25130864399,False,0.014,7.0,4.0,0.025,0.08914222327214354,49400112.7584652,7.693727940225739,0.20031598983703436,0.03076112545405433,6.511985074675889,4.221481385228853,3.631415040078839,7.859551782840782,0.8953977796539938,3.49167309510842,1.0333275783244709,0.1476182254749244,12063.327844723495
131851.8908980921,10987.657574841009,False,0.014,7.0,4.0,0.03,0.11408113480092986,50412488.37767377,7.702538134891445,0.18863939479378525,0.029019945096589332,6.50033603323239,4.225668288470562,3.6491994856936545,7.868938879128901,0.8959161720020814,3.490588678452316,1.1207346618205687,0.16010495168865266,12637.015298265049
70595.24736035723,5882.937280029769,False,0.014,7.0,4.0,0.035,0.13374869201782474,51416646.90470009,7.711103751064748,0.19219726873177623,0.029532716852719097,6.507944043559287,4.229831727226519,3.665176085153696,7.8628049768968,0.8955775038860339,3.491215530245372,1.192802894317292,0.17040041347389884,13081.406475684438
nan,nan,False,0.014,7.0,5.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.0,5.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322756.42387678876,26896.368656399063,False,0.014,7.0,5.0,0.015,0.047518438484666,54466924.05220378,7.736132849756802,0.20121925722232278,0.033564317432612484,5.995034983991952,4.229652861417083,3.7035373771004396,8.305113323791042,0.9193455628032278,3.4435579038217257,1.0088572281585328,0.1441224611655047,11451.858726725064
243261.71625956497,20271.809688297082,False,0.014,7.0,5.0,0.02,0.1057401342715745,54390680.84574601,7.7355244952134035,0.1935111276167629,0.02981018153538782,6.491444119085449,4.237767794632345,3.698390127212098,7.876123101248397,0.8963124954009579,3.4896154217274127,1.1473813889977773,0.16391162699968248,12595.64936551488
136770.05096043894,11397.504246703245,False,0.014,7.0,5.0,0.025,0.12465501721672151,55254253.62707291,7.742365716848693,0.18431780224170127,0.028429474841266178,6.483334752781252,4.241558522299337,3.7142767616501717,7.882689378455572,0.8966744132962854,3.4888348076659796,1.22505137074329,0.17500733867761284,13057.180608340064
93254.84450372611,7771.237041977176,False,0.014,7.0,5.0,0.03,0.1415302428335527,56091022.95840477,7.748893360514763,0.18999315499078168,0.02924773158313635,6.495996260452824,4.245612648006511,3.729363739579539,7.872443151006743,0.8961095331646353,3.489908040238022,1.2985873645706494,0.18551248065294992,13467.139179594813
64685.5789448874,5390.46491207395,False,0.014,7.0,5.0,0.035,0.1550366991457961,56929886.68695835,7.755340319394233,0.18948807573949095,0.029153897043696184,6.499579643005672,4.249373300093512,3.7440871534583633,7.869549367124708,0.895949864128521,3.490166155386342,1.3628332462140018,0.1946904637448574,13821.569527134663
nan,nan,False,0.014,7.24,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.24,1.0,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,False,0.014,7.24,1.0,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
