chi2,chi2_reduced,spectro_compatible,Z,M,logD,fov,Xc,age,log_age,frot,frot_rel,fK,log_Teff,log_L,R,log_R,log_g,Mcc,Mcc_over_M,Pi0
nan,nan,False,0.014,7.0,1.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16534.666378860555,3306.933275772111,False,0.014,7.0,1.0,0.01,0.05651147856379933,43299927.43834779,7.636487168566956,0.27273793403383806,0.03389567763253707,8.046392728612453,4.229740572524617,3.541933395511122,6.825574743628097,0.8341392267716724,3.6143968988685446,0.8451298243828282,0.12073283205468975,10802.132501742431
134003.74717756358,26800.749435512716,False,0.014,7.0,1.0,0.015,0.10031442848306553,44192093.778731704,7.645344578502956,0.25951511430674973,0.03212200901465974,8.079043692077699,4.233692844626998,3.555398577443975,6.807172237593347,0.8329667394234653,3.6167110055676335,0.9523972083851255,0.13605674405501794,11726.517642749992
151522.99425565373,30304.598851130744,False,0.014,7.0,1.0,0.02,0.13178956617368015,45220187.29981854,7.655332356839708,0.2631218583307276,0.03241825154589239,8.116472844263154,4.238308831606986,3.5711860569157117,6.786228582390664,0.8316284840151117,3.6193515869325896,1.0448199453635063,0.1492599921947866,12331.314891047228
152712.11802238075,30542.42360447615,False,0.014,7.0,1.0,0.025,0.15818455537532067,46233381.347096615,7.664955657372403,0.2689013384959455,0.03295003713302345,8.160881197503874,4.243023598978574,3.5868855402312096,6.761587516416577,0.8300486735566136,3.622473996709863,1.1258685895945104,0.16083836994207293,12822.808658989657
101880.9118488718,20376.18236977436,False,0.014,7.0,1.0,0.03,0.18513865082730938,47026175.70801632,7.6723396622154185,0.26033831484523345,0.03124820844728617,8.33130370607993,4.249099198915453,3.5992205234593566,6.669061664444799,0.8240647330738179,3.6344097313764108,1.213559148214491,0.17336559260207013,13272.757798061712
116807.18724689313,23361.437449378624,False,0.014,7.0,1.0,0.035,0.20193403485531716,48039748.493390374,7.6816007250377245,0.2858958849476783,0.03432366744588675,8.329409594659712,4.252826545688638,3.614261066183471,6.670072657842263,0.8241305647603414,3.634237798083396,1.2814664490883796,0.18306663558405423,13615.922871806135
nan,nan,False,0.014,7.0,2.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16645.6876399186,3329.1375279837202,False,0.014,7.0,2.0,0.01,0.05636108437929022,43303130.33443244,7.6365192921462395,0.2726423021734872,0.03388436767417059,8.04625616140145,4.22974785639797,3.5419725596924865,6.8256519759914625,0.8341441408486155,3.614387014954955,0.8434046632730725,0.12048638046758178,10772.545268147684
133432.32548915045,26686.46509783009,False,0.014,7.0,2.0,0.015,0.1001698941424993,44195014.04260418,7.645373276228614,0.2594883980643705,0.03211950905827677,8.078840731767157,4.233689313247089,3.5553990049358806,6.807286245700234,0.8329740130277405,3.6166963619827954,0.952068564518188,0.13600979493116971,11702.694229353987
151220.1041325487,30244.02082650974,False,0.014,7.0,2.0,0.02,0.13164026226090977,45224212.15712792,7.655371009831636,0.26312522088994167,0.032419744588587096,8.116202771769249,4.238296065563251,3.571154258021365,6.78637912598555,0.8316381181626465,3.6193321798907303,1.0438967539693818,0.14912810770991167,12309.942865368295
152639.72863083592,30527.945726167185,False,0.014,7.0,2.0,0.025,0.15810954961735657,46235124.09277254,7.664972027591148,0.26892093426998204,0.03295354510138753,8.160607104413144,4.243019063547306,3.5868868266847844,6.761738918064555,0.8300583979244441,3.6224544918159562,1.1272066878830227,0.1610295268404318,12807.430254910878
106775.2578932288,21355.05157864576,False,0.014,7.0,2.0,0.03,0.1852357586070025,47021896.776172444,7.672300143776807,0.26197168619961914,0.031431397656734306,8.334713239946892,4.249141550662794,3.599152864168048,6.667242770259106,0.8239462691145137,3.6346468155879266,1.21316012051053,0.17330858864436144,13260.320240394569
111045.38256122293,22209.076512244585,False,0.014,7.0,2.0,0.035,0.2020038463185458,48037304.28186664,7.6815786280323115,0.2854650601165549,0.03427770338904722,8.328010102560425,4.252834861085965,3.6143916324005114,6.670819891370778,0.8241792150882365,3.634141027164971,1.2843498672923042,0.18347855247032915,13610.661879499072
nan,nan,False,0.014,7.0,3.0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
